 ,Airports,Auto Dealerships,Auto Shops,Banks,Bars,Big Box Stores,Casual Dining,Clothing Stores,Convenience Stores,Discount Stores,Drug Stores,Fast Food,Furniture Stores,Grocery,Gas Stations,Gyms,Hardware Stores,Hotels,Liquor Stores,Movie Theaters,Nail Salons,Offices,Pet Stores,Salons/Barbershops,Shopping Malls,Trails,Warehouse Stores,Wireless Carriers,Veterinarians,,,,
2020-02-19,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,,,
2020-02-20,99.30855919,100.31149,99.99134126,100.2120732,100.172602,96.66393656,99.46439075,98.48490256,98.66392073,95.676052,96.64061104,99.77658797,99.58303314,98.55653817,99.76523636,100.0580267,100.1977768,100.6570824,99.50050787,99.5212319,98.82662454,99.90364387,99.68598947,99.09870621,98.67230277,100.214551,98.7379879,99.09609098,99.57502731,,,,
2020-02-21,98.91523375,100.6272351,100.0517712,99.54366673,99.84670561,94.8143856,95.68277709,97.02133856,97.40874222,92.870587,93.63999798,99.96809721,99.30167887,96.27117645,99.46469573,100.5100154,100.8740354,99.56337663,98.1735308,93.62952221,98.17395257,99.90663746,99.05422655,98.38306825,96.48581934,100.164078,98.28983693,98.33200783,99.34159767,,,,
2020-02-22,98.81274482,101.2129535,100.4180556,99.30271445,100.0625268,94.216787,95.30355937,96.47419317,97.26134742,93.056786,92.76275015,100.4630018,98.93106844,96.47865675,99.53392803,100.598624,101.38411,97.66441311,98.61541943,91.43633786,98.08716842,99.94238118,98.67730014,98.69739594,95.97403094,100.584055,98.89829685,98.14782277,99.74736812,,,,
2020-02-23,99.82886031,101.3212178,100.4903267,99.32737695,99.01339554,94.1329377,94.0535628,95.30010872,97.21190188,93.236514,92.56887733,100.5141051,97.60323415,96.75731954,99.59465675,100.4353388,101.6230138,95.17462033,98.28440786,88.43224117,98.09591529,99.65242615,98.17935641,98.85779915,94.73857012,100.784907,99.58035066,98.193703,99.7736825,,,,
2020-02-24,99.14587744,99.98269099,99.79684076,105.7401712,98.42151992,92.67396471,91.82339831,91.44904355,96.94816295,92.888611,91.98285726,99.86613964,93.27262394,96.07395466,99.14638757,101.1767047,99.90139297,94.28101925,98.1757729,84.27321923,97.65147014,103.8813142,96.08875354,98.36385612,91.42950168,97.404048,97.53214949,97.95321179,98.96753099,,,,
2020-02-25,97.51139789,99.66714033,99.60031072,103.0949368,98.64436003,93.00491645,92.66992558,91.50018212,96.94146979,93.527529,92.11749237,100.1598925,92.81012051,96.03369598,99.23215219,101.1016457,100.3050927,94.19640718,98.49941724,83.86290972,97.49398164,103.4376678,96.17126658,98.26820873,91.2234836,96.89756,98.00549524,97.97249604,98.80316163,,,,
2020-02-26,97.34727038,99.75303055,99.86688338,103.0900122,98.40961638,93.50166731,93.02018817,91.67009828,97.06326716,93.646181,92.35181641,100.8543183,92.45096099,95.84242165,99.40991579,100.5274239,100.6679647,93.69490943,98.87349452,83.96510536,97.93019938,102.9978281,96.22346173,98.31003957,91.33348496,96.25948,98.91561925,98.90118665,98.97768338,,,,
2020-02-27,97.54375907,100.440633,100.8119104,103.6128645,98.48032083,94.28184673,93.41220631,92.51903558,97.53852686,94.305008,92.77001574,101.8436445,92.66984781,95.97398484,100.0292456,100.6078398,101.6480719,93.52382859,99.08852697,83.86843619,98.60786689,102.5604751,96.81120793,98.96819125,91.80166559,96.461103,100.4911009,100.3121144,99.58215568,,,,
2020-02-28,97.80922575,100.9301233,101.5907125,106.3389007,98.61936071,94.97448274,93.63533833,92.74297898,98.14052719,95.438391,93.65115035,102.8126346,93.32403353,96.34807129,100.6085232,100.6654039,102.3086954,93.35663503,99.49559789,83.03371319,99.66507443,102.6107654,97.50355016,99.73380267,92.11935574,96.573259,102.2122585,102.3104148,100.2863319,,,,
2020-02-29,97.89721575,101.3877157,102.5889773,108.2939364,98.37964427,96.13071647,93.97364674,93.79518365,98.88957547,96.612315,95.17443163,103.8582121,94.12367447,96.65385217,101.369069,100.7505322,103.8314358,93.39673368,100.0268586,82.75684379,100.6068836,102.6507929,99.46481564,100.5885032,93.11073283,96.619195,104.7385266,104.0315476,100.8975768,,,,
2020-03-01,97.65752492,101.5274967,103.0542405,109.166053,98.49321629,97.66676673,94.87419563,95.02401158,99.53772334,97.539517,95.89452882,104.9011423,95.36586447,97.51411791,102.1722587,100.7917193,105.2014307,93.0374183,100.4922157,81.99239053,100.9582166,102.8592504,100.7799928,100.9300198,94.23751753,95.783606,107.5274169,105.0626526,101.1835222,,,,
2020-03-02,96.80884042,101.8525797,103.8016474,112.3031224,98.49073886,98.94493804,95.12312013,95.48133858,100.0587581,98.323871,96.92336341,105.8896505,96.18854964,98.23979683,102.6896201,100.8974355,106.0871809,92.67014987,100.8285267,81.62819723,100.9604447,102.6900978,101.622498,101.4789445,94.49512032,95.971709,110.6801256,106.2692257,102.0057873,,,,
2020-03-03,96.09811486,102.4143292,104.6725219,116.9002193,98.51115775,100.1416636,94.92820956,95.87973223,100.9210977,99.381267,98.07797518,107.0041243,97.325845,99.13971539,103.3737381,101.0871837,106.905779,92.07460621,101.3623853,81.31759457,101.9751862,102.5418788,102.410366,101.9726786,94.72959987,97.23695,113.149991,107.7121935,103.0422743,,,,
2020-03-04,95.33551595,102.563061,105.1420947,118.1503039,98.99046219,100.3156598,94.67562301,95.88237921,101.2591548,99.976113,98.90418947,107.300303,97.89147787,99.74703628,103.6486754,101.2254135,107.4259252,91.70079959,101.3003391,81.18176151,102.6816406,102.262279,102.652144,102.5417981,94.61440384,98.319681,114.4506036,107.666111,103.2113064,,,,
2020-03-05,94.27532154,102.9794973,105.4268815,119.8019413,99.2990003,100.6575102,94.62554033,95.45961199,101.5095897,100.75007,99.86518272,107.4789959,98.12820154,100.4385728,103.7404121,101.2010511,108.0017733,91.26935274,101.6059287,81.14568324,103.4360914,102.1231882,102.8946486,102.7050503,94.34243795,99.164362,115.4844979,107.3711967,103.5032148,,,,
2020-03-06,93.0020475,102.9911488,104.9415565,118.6134236,99.41813856,100.5097551,94.27616876,94.93771751,101.411073,100.243853,99.35638962,107.4941287,97.63646283,101.0037913,103.7690509,100.9519154,108.2900363,90.97945095,101.319105,81.42262029,104.1523027,101.5694526,102.3102733,102.1053715,93.65989592,99.522221,116.2033219,105.6212961,103.4037517,,,,
2020-03-07,93.34629414,102.5121515,104.7049716,115.884807,100.8848039,100.5568756,94.77247649,94.27264813,101.4694817,100.340054,99.6555518,108.1951403,96.88220635,102.3357247,104.582531,100.7238075,109.2740785,90.70941963,101.173717,82.43577905,104.0895452,101.9414333,101.0903531,101.8265552,92.80333103,100.389002,116.3677823,105.0621577,103.1688303,,,,
2020-03-08,92.7186846,102.4248978,104.662546,114.3192133,100.4847643,99.68990352,93.85009723,93.24304535,101.3903984,99.940157,99.36261475,108.8753442,95.13219761,103.1607062,105.4489464,100.0592731,109.4944648,90.50405964,101.4423573,80.95574349,103.1689831,101.908787,99.95770644,101.7783959,91.53711143,103.053234,115.0914706,104.3152648,103.0156534,,,,
2020-03-09,92.03415253,102.3782231,104.582856,112.9324157,100.5359046,99.52670631,93.77254685,93.32330579,101.4446894,100.022382,99.34176621,109.7065251,94.78198257,104.1730035,106.6265415,99.04067003,109.9763689,90.55692102,101.5113465,81.20032631,103.959376,101.3146566,99.69998641,101.6105781,91.47772314,105.178204,115.1110488,103.5471515,103.0323357,,,,
2020-03-10,91.82264238,102.076981,104.2634657,109.6806037,99.97648689,99.3844771,93.11547589,93.37775849,101.1344871,99.777494,99.29004205,109.9860972,94.40813162,105.0092514,107.2893034,98.1809829,110.1876086,90.55388081,101.5356477,80.58621495,103.6932403,99.99227526,99.23335535,101.5919293,91.43678587,104.917293,116.3307543,103.4075438,102.5970042,,,,
2020-03-11,90.7061872,102.3196442,104.3216895,108.7879471,99.47484757,100.3614627,92.71136824,93.45829708,101.4867234,100.723923,99.88944677,110.761365,94.3449109,106.9283349,108.5028604,97.4146508,110.9513827,90.5682323,101.9976344,80.27088617,104.1174221,98.89512808,99.33757754,102.2677127,91.51165478,105.730512,120.5541763,103.2404911,102.8058397,,,,
2020-03-12,89.15195674,101.4093757,103.8033543,107.3561896,98.24968782,103.2966902,91.52344375,92.55076672,102.4169276,103.419262,102.5979952,111.372816,93.92555703,111.6912714,109.9736315,95.43590667,112.1104491,89.69703477,103.843935,79.41520782,103.614955,96.90081102,99.97868724,102.4043317,91.36049546,105.740103,129.4137938,102.6723361,102.8755962,,,,
2020-03-13,87.16626421,100.3125373,103.3834567,107.1654727,95.98677627,107.6741807,88.80998361,90.98361536,103.7922829,107.838734,108.1892588,111.4287049,93.04682685,119.3425723,111.3805459,93.35817609,114.399787,87.45507197,107.3269205,75.80255075,102.7986441,94.90074758,101.7430429,102.9978798,90.88766296,105.407484,138.6668086,102.6211224,103.4401219,,,,
